Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources,Form
Pigmentation Removal (Body),Laser Resurfacing,Laser - Pigmentation Removal,Please ask Maria for a quote on your area of concern,1h,150,,['Maria Mccarthy'],TRUE,"['Enable resources', 'Laser Bed']",
Buttocks ,Laser Hair Removal,Ladies Laser Hair Removal,,15min,60,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Laser HR between brows ,Laser Hair Removal,Ladies Laser Hair Removal,Laser hair removal between brows ,10min,10,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
LHR Patch Test/ Consultation,Laser Hair Removal,Ladies Laser Hair Removal,Laser Hair Removal Patch test and Consultation,20min,,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Hollywood (everything removed),Laser Hair Removal,Ladies Laser Hair Removal,,20min,79,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Brazilian (a strip left at the front),Laser Hair Removal,Ladies Laser Hair Removal,,15min,79,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Californian (extended bikini line),Laser Hair Removal,Ladies Laser Hair Removal,,15min,60,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Bikini Line (sides outside knicker line),Laser Hair Removal,Ladies Laser Hair Removal,,15min,45,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
3/4 arms,Laser Hair Removal,Ladies Laser Hair Removal,,20min,85,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Forearms,Laser Hair Removal,Ladies Laser Hair Removal,,20min,75,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],Laser Hair Removal Consultation Form
Underarms,Laser Hair Removal,Ladies Laser Hair Removal,,15min,50,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Full Face ,Laser Hair Removal,Ladies Laser Hair Removal,,15min,89,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Sides of Face ,Laser Hair Removal,Ladies Laser Hair Removal,,15min,50,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Lip,Laser Hair Removal,Ladies Laser Hair Removal,,15min,30,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Chin,Laser Hair Removal,Ladies Laser Hair Removal,,15min,35,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Lip and Chin,Laser Hair Removal,Ladies Laser Hair Removal,,15min,45,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],Laser Hair Removal Consultation Form
Chin and Neck,Laser Hair Removal,Ladies Laser Hair Removal,,15min,50,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Full legs,Laser Hair Removal,Ladies Laser Hair Removal,,50min,175,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
3/4 Legs,Laser Hair Removal,Ladies Laser Hair Removal,,40min,135,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Lower Legs,Laser Hair Removal,Ladies Laser Hair Removal,,30min,99,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],Laser Hair Removal Consultation Form
Laser Hair Removal Patch Test/ Consultation,Laser Hair Removal,Men's Laser Hair Removal,,15min,,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Nose (inside) ,Laser Hair Removal,Men's Laser Hair Removal,,15min,40,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Full Back and Shoulders ,Laser Hair Removal,Men's Laser Hair Removal,,60min,245,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",Laser Hair Removal Consultation Form
Bridal Makeup Consultation,Bridal Makeup,Makeup,,75min,50,,['Maria Mccarthy'],TRUE,"['Enable resources', 'Makeup Chair']",
Makeup (No Lashes),Makeup Service,Makeup,,45min,35,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Makeup Chair']",
Makeup with Individual Lashes ,Makeup Service,Makeup,,60min,40,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Makeup Chair']",
Makeup with Strip Lashes ,Makeup Service,Makeup,,60min,40,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Makeup Chair']",
Application of false lashes only ,Makeup Service,Makeup,,15min,15,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Makeup Chair']",
Powder Brows Patch test and Consultation ,Skin Consultation,Brows And Lashes,Skin text with pigment and consultation to ensure you are eligible to receive powder brows ,15min,,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],
Hybrid Brows ,Eyebrow Tinting,Brows And Lashes,"Hybrid Brows fit comfortably between Henna Brows and Hd Brows. Hybrid Brows are for those of you that love the HD brows shape but you'd prefer a tint on the skin while not having the permanent opaque look people love from a Henna Brow. Mapping, waxing, threading, tweezing and threading all included. Try them for yourself and see. Get patch tested at your next appointment or book a free patch online",45min,45,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],
Tint and Shape Tint and Shape plus lip thread/wax, ,,"Patch test required.
A 15 minute quick tint and shape. Designed for clients with little brow hair. Or clients that are inbetween HD brows treatments. 
Lip can be threading or waxed your choice ",15min,20.37,,,,,
Lip Tint and Shape plus lip thread/wax, ,,"Patch test required.
A 15 minute quick tint and shape. Designed for clients with little brow hair. Or clients that are inbetween HD brows treatments. 
Lip can be threading or waxed your choice ",5min,4.63,,,,,
Epiluxe Brows Epiluxe Brows and Lip Thread/Wax, ,,"Patch Test Required
The Epiluxe Brow is a bespoke eyebrow treatment that is totally tailored to you. It's so much more than a standard eyebrow tint and wax: We mix a tint specific to suit your skin and hair colour but also keeping in mind your personal preference. A variety of hair removal techniques are then used to create your desired shape. Longer lasting and perfectly shaped Epiluxe Brows.

For the lip, either waxing or threading can be used, it’s up to you! ",30min,30.27,,,,,
Lip Epiluxe Brows and Lip Thread/Wax, ,,"Patch Test Required
The Epiluxe Brow is a bespoke eyebrow treatment that is totally tailored to you. It's so much more than a standard eyebrow tint and wax: We mix a tint specific to suit your skin and hair colour but also keeping in mind your personal preference. A variety of hair removal techniques are then used to create your desired shape. Longer lasting and perfectly shaped Epiluxe Brows.

For the lip, either waxing or threading can be used, it’s up to you! ",5min,4.73,,,,,
Eyelash Tint ,Eyelash Tinting,Brows And Lashes,"Patch test required
We use an 8 week tint for all lash tints for longer lasting colour on the lashes!",10min,10,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Brow Lamination Brow Lamination And Lash Lift , ,,Patch test required ,45min,45.1,,,,,
Lash Lift Brow Lamination And Lash Lift , ,,Patch test required ,45min,46.9,,,,,
Patch Test Brow and Lash Treatments,Eyelash Tinting,Brows And Lashes,,10min,,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Makeup Chair', 'Brow Chair', 'Laser Bed']",
Epiluxe Brows Lash Lift and Epiluxe Brows , ,,Patch test required ,30min,28.57,,,,,
Lash Lift Lash Lift and Epiluxe Brows , ,,Patch test required ,45min,46.43,,,,,
Tint and Shape ,Eyebrow Shaping,Brows And Lashes,"Patch test required.
A 15 minute quick tint and shape with regular tint. Designed for clients with little brow hair. Or clients that are inbetween HD brows treatments. ",15min,22,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Brow Thread,Threading,Brows And Lashes,"Brow Thread, client can opt for brow waxing and threading for same price ",15min,15,,"[""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Epiluxe Brows,Eyebrow Tinting,Brows And Lashes,"Patch Test Required
The HD Brow is a bespoke eyebrow treatment that is totally tailored to you. It's so much more than a standard eyebrow tint and wax: Maria mixes a HD brow tint specific to suit your skin and hair colour but also keeping in mind your personal preference. A variety of hair removal techniques are then used to create your desired shape. Longer lasting and perfectly shaped Hd Brows.",30min,32,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Brow Lamination,Eyelash Tinting,Brows And Lashes,"Brow Straightening with perm solution. Patch test required.

Brows are manipulated with perm products to add drama, thickness and shape to the brows.
A growing trend that can also benefit clients with thin brows for a fuller look",45min,50,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Henna Brows ,Eyelash Tinting,Brows And Lashes,"Patch Test Required
Henna brow is a tint that stains the skin. Designed for clients who find regular tint or HD brow tint doesn't last. 
Advised for clients with little brow hair or gaps in the brows",40min,40,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Lash Lift ,Lash Lift,Brows And Lashes,"A Lash Perm. Patch Test Required. Lashes need to be kept dry for 24 hours to set

Silicone moulds and products are used to gently and carefully manipulate the natural lashes in an upright, curled position. An 8 week tint is applied to add definition. The treatment lasts 10 weeks. 
Clients will feel they have false lashes, add mascara to give a dramatic effect.",45min,52,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],
Chin Chin and Neck, ,,,15min,4.5,,,,,
Neck Chin and Neck, ,,,10min,9,,,,,
Lip,Threading,Threading,,5min,5,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Chin,Threading,Threading,,15min,5,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Lip and Chin ,Threading,Threading,,15min,10,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Full Face ,Threading,Threading,,20min,30,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Sides of Face ,Threading,Threading,,20min,20,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Neck,Threading,Threading,,10min,10,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Manual payment,Hair Styling,Manual Payment,Service for manual charges,5min,1,,[],FALSE,[],
