name,full-price,cost-price,barcode,description,category,supplier
HD Brow Glue,22,0,,Brow product to set eyebrows,Brow Products,Unknown
Brow Tech,20,0,,,Brow Products,Unknown
Clear skin biome,73,36.5,,,Advanced Nutrition,Unknown
Gel Oil Free,37,18,8470001724137,SPF 50 for Oily skin,Heliocare,Unknown
Pearl Gel Oil Free,39,,8436574360028,Tinted SPF Shade 1,Unknown,Unknown
Fluid Cream,37,,8470001679864,SPF 50 for dry skin,Heliocare,Unknown
Mineral Tolerance Fluid,37,18,8470001847607,Mineral SPF 50 for sensitive skin/post treatment/ reactive skin,Heliocare,Unknown
Helio Care Bronze Gel oil free,39,23,,,Heliocare,Unknown
Skin Collegen Support,52,26,,,Advanced Nutrition,Unknown
Skin Vit C,39,19.5,,,Advanced Nutrition,Unknown
Airlift Brow Conditioning Serum,6,,,,Airlift,Unknown
Airlift Lash Conditioning Serum,12,,,,Airlift,Unknown
Skin Youth Biome,73,36.5,,,Advanced Nutrition,Unknown
Skin Ultimate,90,45,,Vit A + D antioxidants omegas 3 and 6 biotin and coq10,Advanced Nutrition,Unknown
Skin Complete,66,33,,"For protection from free radical damage and aging. Smooths fine lines and wrinkle and creates, healthy, younger and stronger looking skin ",Advanced Nutrition,Unknown
Skin Vit A + 60 pack,29,14.5,,"For healthy, younger and stronger skin ",Advanced Nutrition,Unknown
Skin Accumax 180 Pack,119,59.5,,For hormonal acne and rosacea skins ,Advanced Nutrition,Unknown
Skin Accumax 400 pack,240,120,,For hormonal acne and rosacea skins ,Advanced Nutrition,Unknown
Skin Omegas + 60,41,20.5,,Skin omegas plus vit A for healthy hydrated skin,Advanced Nutrition,Unknown
Skin Omegas + 180 pack,89,44.5,,For healthy hydrated skin,Advanced Nutrition,Unknown
Defy,80,40,,,Unknown,Unknown
Surge Hyaluronic Acid Booster,120,60,8770042,,Unknown,Unknown
Aloe Vera Gel 200ml,15,13.46,,Aloe Vera Gel soothing after care treatment,Unknown,Unknown
Aloe Vera Gel 35ml,6,3.13,,Small aloe Vera soothing after care treatment,Sterex,Unknown
